1) Node A: 117, Node B: 629, Shortest path: 2
2) Node A: 237, Node B: 810, Shortest path: 1
3) Node A: 579, Node B: 235, Shortest path: 2
4) Node A: 407, Node B: 778, Shortest path: 2
5) Node A: 295, Node B: 699, Shortest path: 2
6) Node A: 297, Node B: 520, Shortest path: 2
7) Node A: 695, Node B: 533, Shortest path: 1
8) Node A: 970, Node B: 621, Shortest path: 2
9) Node A: 256, Node B: 233, Shortest path: 2
10) Node A: 696, Node B: 346, Shortest path: 2
11) Node A: 151, Node B: 48, Shortest path: 2
12) Node A: 861, Node B: 914, Shortest path: 2
13) Node A: 770, Node B: 183, Shortest path: 2
14) Node A: 464, Node B: 937, Shortest path: 2
15) Node A: 222, Node B: 695, Shortest path: 2
16) Node A: 405, Node B: 424, Shortest path: 2
17) Node A: 667, Node B: 206, Shortest path: 2
18) Node A: 503, Node B: 682, Shortest path: 2
19) Node A: 108, Node B: 881, Shortest path: 2
20) Node A: 281, Node B: 647, Shortest path: 1
21) Node A: 957, Node B: 687, Shortest path: 2
22) Node A: 624, Node B: 294, Shortest path: 2
23) Node A: 815, Node B: 740, Shortest path: 2
24) Node A: 553, Node B: 440, Shortest path: 2
25) Node A: 69, Node B: 441, Shortest path: 2
26) Node A: 182, Node B: 569, Shortest path: 2
27) Node A: 422, Node B: 894, Shortest path: 2
28) Node A: 711, Node B: 52, Shortest path: 2
29) Node A: 63, Node B: 258, Shortest path: 2
30) Node A: 294, Node B: 727, Shortest path: 2
31) Node A: 188, Node B: 225, Shortest path: 2
32) Node A: 732, Node B: 569, Shortest path: 2
33) Node A: 215, Node B: 174, Shortest path: 1
34) Node A: 284, Node B: 742, Shortest path: 2
35) Node A: 137, Node B: 604, Shortest path: 2
36) Node A: 249, Node B: 279, Shortest path: 2
37) Node A: 602, Node B: 887, Shortest path: 2
38) Node A: 980, Node B: 564, Shortest path: 2
39) Node A: 70, Node B: 176, Shortest path: 1
40) Node A: 845, Node B: 967, Shortest path: 2
41) Node A: 409, Node B: 790, Shortest path: 2
42) Node A: 728, Node B: 454, Shortest path: 2
43) Node A: 642, Node B: 78, Shortest path: 2
44) Node A: 276, Node B: 707, Shortest path: 2
45) Node A: 443, Node B: 491, Shortest path: 2
46) Node A: 372, Node B: 683, Shortest path: 2
47) Node A: 893, Node B: 317, Shortest path: 2
48) Node A: 644, Node B: 86, Shortest path: 2
49) Node A: 961, Node B: 299, Shortest path: 2
50) Node A: 553, Node B: 501, Shortest path: 1
51) Node A: 557, Node B: 396, Shortest path: 2
52) Node A: 324, Node B: 552, Shortest path: 1
53) Node A: 460, Node B: 598, Shortest path: 2
54) Node A: 891, Node B: 229, Shortest path: 2
55) Node A: 311, Node B: 645, Shortest path: 2
56) Node A: 685, Node B: 719, Shortest path: 2
57) Node A: 404, Node B: 958, Shortest path: 2
58) Node A: 301, Node B: 84, Shortest path: 2
59) Node A: 501, Node B: 644, Shortest path: 1
60) Node A: 587, Node B: 647, Shortest path: 2
61) Node A: 441, Node B: 247, Shortest path: 2
62) Node A: 939, Node B: 451, Shortest path: 2
63) Node A: 685, Node B: 320, Shortest path: 2
64) Node A: 388, Node B: 509, Shortest path: 2
65) Node A: 468, Node B: 232, Shortest path: 2
66) Node A: 244, Node B: 404, Shortest path: 2
67) Node A: 664, Node B: 131, Shortest path: 2
68) Node A: 202, Node B: 453, Shortest path: 2
69) Node A: 911, Node B: 382, Shortest path: 2
70) Node A: 154, Node B: 886, Shortest path: 2
71) Node A: 833, Node B: 25, Shortest path: 2
72) Node A: 230, Node B: 919, Shortest path: 1
73) Node A: 868, Node B: 928, Shortest path: 2
74) Node A: 488, Node B: 913, Shortest path: 2
75) Node A: 797, Node B: 575, Shortest path: 2
76) Node A: 753, Node B: 88, Shortest path: 1
77) Node A: 119, Node B: 708, Shortest path: 2
78) Node A: 58, Node B: 844, Shortest path: 2
79) Node A: 241, Node B: 567, Shortest path: 2
80) Node A: 590, Node B: 727, Shortest path: 2
81) Node A: 786, Node B: 203, Shortest path: 2
82) Node A: 358, Node B: 133, Shortest path: 2
83) Node A: 717, Node B: 613, Shortest path: 2
84) Node A: 658, Node B: 141, Shortest path: 2
85) Node A: 676, Node B: 39, Shortest path: 2
86) Node A: 929, Node B: 653, Shortest path: 2
87) Node A: 218, Node B: 576, Shortest path: 2
88) Node A: 348, Node B: 449, Shortest path: 2
89) Node A: 232, Node B: 613, Shortest path: 2
90) Node A: 229, Node B: 305, Shortest path: 2
91) Node A: 517, Node B: 59, Shortest path: 2
92) Node A: 663, Node B: 591, Shortest path: 2
93) Node A: 749, Node B: 583, Shortest path: 2
94) Node A: 142, Node B: 573, Shortest path: 2
95) Node A: 146, Node B: 563, Shortest path: 2
96) Node A: 647, Node B: 295, Shortest path: 2
97) Node A: 951, Node B: 887, Shortest path: 2
98) Node A: 440, Node B: 376, Shortest path: 2
99) Node A: 27, Node B: 682, Shortest path: 2
100) Node A: 113, Node B: 812, Shortest path: 2
Average path length: 1.907
