1) Node A: 830, Node B: 3876, Shortest path: 3
2) Node A: 1045, Node B: 3810, Shortest path: 4
3) Node A: 3822, Node B: 617, Shortest path: 4
4) Node A: 434, Node B: 1041, Shortest path: 3
5) Node A: 759, Node B: 929, Shortest path: 6
6) Node A: 568, Node B: 3772, Shortest path: 4
7) Node A: 2394, Node B: 3452, Shortest path: 5
8) Node A: 935, Node B: 3202, Shortest path: 3
9) Node A: 2690, Node B: 1271, Shortest path: 3
10) Node A: 1370, Node B: 80, Shortest path: 3
11) Node A: 3552, Node B: 1954, Shortest path: 5
12) Node A: 2199, Node B: 2167, Shortest path: 2
13) Node A: 1528, Node B: 1615, Shortest path: 2
14) Node A: 1012, Node B: 3629, Shortest path: 4
15) Node A: 3104, Node B: 741, Shortest path: 5
16) Node A: 3822, Node B: 1934, Shortest path: 5
17) Node A: 1256, Node B: 3369, Shortest path: 3
18) Node A: 3162, Node B: 2303, Shortest path: 4
19) Node A: 3416, Node B: 1566, Shortest path: 3
20) Node A: 925, Node B: 4007, Shortest path: 5
21) Node A: 3934, Node B: 2129, Shortest path: 5
22) Node A: 1862, Node B: 2645, Shortest path: 4
23) Node A: 399, Node B: 215, Shortest path: 3
24) Node A: 1131, Node B: 3295, Shortest path: 3
25) Node A: 3634, Node B: 2340, Shortest path: 5
26) Node A: 39, Node B: 53, Shortest path: 2
27) Node A: 3691, Node B: 2516, Shortest path: 5
28) Node A: 2836, Node B: 1595, Shortest path: 3
29) Node A: 2476, Node B: 367, Shortest path: 4
30) Node A: 1561, Node B: 3755, Shortest path: 4
31) Node A: 617, Node B: 829, Shortest path: 6
32) Node A: 1688, Node B: 2544, Shortest path: 3
33) Node A: 1648, Node B: 2980, Shortest path: 3
34) Node A: 430, Node B: 792, Shortest path: 6
35) Node A: 1868, Node B: 64, Shortest path: 3
36) Node A: 1185, Node B: 3779, Shortest path: 4
37) Node A: 1597, Node B: 1597, Shortest path: 0
38) Node A: 2156, Node B: 1943, Shortest path: 2
39) Node A: 1109, Node B: 147, Shortest path: 3
40) Node A: 3109, Node B: 273, Shortest path: 4
41) Node A: 3624, Node B: 2224, Shortest path: 5
42) Node A: 13, Node B: 184, Shortest path: 2
43) Node A: 3498, Node B: 2625, Shortest path: 5
44) Node A: 2804, Node B: 1977, Shortest path: 4
45) Node A: 3063, Node B: 1179, Shortest path: 3
46) Node A: 2431, Node B: 767, Shortest path: 7
47) Node A: 2278, Node B: 2036, Shortest path: 2
48) Node A: 2175, Node B: 1930, Shortest path: 2
49) Node A: 926, Node B: 651, Shortest path: 2
50) Node A: 282, Node B: 1583, Shortest path: 3
51) Node A: 2325, Node B: 3726, Shortest path: 5
52) Node A: 517, Node B: 2216, Shortest path: 3
53) Node A: 2187, Node B: 3793, Shortest path: 5
54) Node A: 2588, Node B: 524, Shortest path: 3
55) Node A: 1310, Node B: 3199, Shortest path: 3
56) Node A: 762, Node B: 2086, Shortest path: 7
57) Node A: 3384, Node B: 2891, Shortest path: 2
58) Node A: 1245, Node B: 2761, Shortest path: 3
59) Node A: 2409, Node B: 3069, Shortest path: 4
60) Node A: 3410, Node B: 63, Shortest path: 4
61) Node A: 2606, Node B: 2718, Shortest path: 4
62) Node A: 3716, Node B: 2308, Shortest path: 5
63) Node A: 3154, Node B: 3184, Shortest path: 2
64) Node A: 1393, Node B: 3880, Shortest path: 4
65) Node A: 2819, Node B: 1720, Shortest path: 3
66) Node A: 620, Node B: 2833, Shortest path: 4
67) Node A: 3620, Node B: 2158, Shortest path: 5
68) Node A: 2597, Node B: 2366, Shortest path: 2
69) Node A: 725, Node B: 3005, Shortest path: 5
70) Node A: 3417, Node B: 3242, Shortest path: 2
71) Node A: 2606, Node B: 1008, Shortest path: 4
72) Node A: 2657, Node B: 396, Shortest path: 4
73) Node A: 1367, Node B: 2937, Shortest path: 3
74) Node A: 1221, Node B: 2522, Shortest path: 4
75) Node A: 1105, Node B: 3416, Shortest path: 3
76) Node A: 1881, Node B: 2667, Shortest path: 3
77) Node A: 1601, Node B: 3345, Shortest path: 3
78) Node A: 3694, Node B: 173, Shortest path: 4
79) Node A: 3549, Node B: 3881, Shortest path: 2
80) Node A: 453, Node B: 858, Shortest path: 5
81) Node A: 3097, Node B: 2144, Shortest path: 4
82) Node A: 763, Node B: 2876, Shortest path: 5
83) Node A: 2802, Node B: 110, Shortest path: 4
84) Node A: 3454, Node B: 1886, Shortest path: 4
85) Node A: 3837, Node B: 1998, Shortest path: 5
86) Node A: 2931, Node B: 3408, Shortest path: 2
87) Node A: 1942, Node B: 866, Shortest path: 6
88) Node A: 2091, Node B: 3156, Shortest path: 4
89) Node A: 1299, Node B: 134, Shortest path: 3
90) Node A: 1606, Node B: 113, Shortest path: 3
91) Node A: 2596, Node B: 1980, Shortest path: 2
92) Node A: 1932, Node B: 3774, Shortest path: 5
93) Node A: 339, Node B: 3575, Shortest path: 5
94) Node A: 1982, Node B: 1170, Shortest path: 4
95) Node A: 692, Node B: 266, Shortest path: 7
96) Node A: 668, Node B: 675, Shortest path: 2
97) Node A: 732, Node B: 1506, Shortest path: 6
98) Node A: 3671, Node B: 636, Shortest path: 4
99) Node A: 2040, Node B: 3468, Shortest path: 5
100) Node A: 1034, Node B: 1909, Shortest path: 2
Average path length: 3.75
